hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
11q9uH8O,Blink Master of the Magic Academy,reading,,70,2025-15-09,"Magic Academy's Genius Blinker,Gênio do teletransporte da academia de magia,I Became a Flashing Genius at the Magic Academy,I Become Flashing Genius at the Magic Academy,ザコキャラ憑依のはずが、アカデミーの天才になっていた,魔法学院的闪现天才,마법학교 앞점멸 천재가 되었다,Quick Teleporting Genius from Magic School,Mabeop Hakgyo Apjeommyeol Cheonjae-ga Doeeotda",https://myanimelist.net/manga/170974?utm_source=comick,https://anilist.co/manga/178379?utm_source=comick,https://www.mangaupdates.com/series/4x1ds0v?utm_source=comick
45LcQFyu,Ryoushin no Shakkin wo Katagawari shite morau Jouken wa Nihon Ichi Kawaii Joshikousei to Issho ni Kurasu koto deshita.,reading,,37,2025-15-09,"I'm Gonna Live with You Not Because My Parents Left Me Their Debt But Because I Like You,両親の借金を肩代わりしてもらう条件は日本一可愛い女子高生と一緒に暮らすことでした。,Tì wǒ fùmǔ chánghuán zhàiwù de tiáojiàn shì yǔ rìběn zuì kě'ài de nǚ gāozhōng shēng tóngjū.,替我父母偿还债务的条件是与日本最可爱的女高中生同居。,Ryoushin no Shakkin wo Katagawari shite Morau Jouken wa Nihonichi Kawaii Joshikousei to Issho ni Kurasu Koto deshita.",https://myanimelist.net/manga/147458?utm_source=comick,https://anilist.co/manga/142021?utm_source=comick,https://www.mangaupdates.com/series/hrrxtdp?utm_source=comick
O1VuHWbf,The Yellow-haired Villain in Female Main Character's Novel wants Happiness,reading,,30,2025-15-09,"凤傲天小说里的黄毛反派也想幸福,The Yellow-Haired Villain in Soaring Phoenix's Novels Also Desires Happiness,The Yellow-Haired Villain in the Female Main Character's Novel Wants Happiness,Feng Aotian Xiaoshuo li de Huangmao Fanpai Ye Xiang Xingfu",,,
D7Xay4Zj,Mob Dakedo Saikyou wo Mezashimasu! ~Game Sekai ni Tensei shita Ore wa Jiyuu ni Tsuyosa wo Oimotomeru~,reading,,8,2025-15-09,"I May Just Be a Mob Character, but I'll Aim to Be the Strongest! ~Reincarnated Into a Game World, I Strive for Power on My Terms~,モブだけど最強を目指します！～ゲーム世界に転生した俺は自由に強さを追い求める～,I May Just Be a Mob Character, but I'll Aim to Be the Strongest! ~Reincarnated Into a Game World, I Strive for Power on My Terms~,Mob Dakedo Saikyou wo Mezashimasu!,Mob Dakedo Saikyō o Mezashimasu!,モブだけど最強を目指します！,モブだけど最強を目指します！～ゲーム世界に転生した俺は自由に強さを追い求める～,Mob Dakedo Saikyou wo Mezashimasu! - Game Sekai ni Tensei shita Ore wa Jiyuu ni Tsuyosa wo Oimotomeru",https://myanimelist.net/manga/180177?utm_source=comick,,https://www.mangaupdates.com/series/teaeb9j?utm_source=comick
Pk_vCu12,The Reborn Young Lordis an Assassin,reading,,92,2025-15-09,"회귀한 공작가의 막내도련님은 암살자,Вернувшийся младший сын герцога,La venganza del asesino de la espada demoniaca,Hoegwihan Gongjakgaui Mangnaedoryeonnimeun Amsalja,El asesino que retornó como el hijo del Duque,El pibe que retorna como el hijo menor,Регрессировавший сын герцога,ลูกชายคนเล็กของดยุกคือมือสังหาร,歸來的少爺是暗殺者,The Regressed Youngest Son of the Duke Is an Assassin,The Regressed Son of a Duke Is an Assassin,回帰した公爵家の末息子は暗殺者,公爵家的重生暗杀者,El joven señor renacido es un asesino",,,
EPl3QHL_,Revenge of the Baskerville Bloodhound,reading,,130,2025-15-09,"철혈검가 사냥개의 회귀,Cheolhyeolgeomga Sanyanggaeui Hoegwi,Demir kanlı kılıç tazısının i̇ntikamı,回帰した鉄血の猟犬,铁血剑家猎犬的回归,عودة الكلب ذي الدم الحديدي,Revenge of the Sword Clan's Hound,Ang Paghihiganti ni VikVik,Ang pagpanimalos sa Irong-buang,Cheolhyeol Geomga Sanyanggaeui Hoegwi,Demir Kanlı Kılıç Tazısının İntikamı,Die Rückkehr des Jagdhundes aus Eisen und Blut,Kuduz Hançerin İntikamı,鐵血家族獵犬的重生,A vingança do cão de caça de sangue de ferro Baskerville,Revenge of the Iron-Blooded Sword Hound,Regression of the Ironblade Hound,Return of the Iron-Blooded Hound,Return of the Iron-Blooded Sword Hound,The Return of the Iron-Blood Sword Hound,La revanche du limier des Baskerville,O retorno do cão de caça dos Baskerville,El perro de metal,La venganza del sabueso de la espada sangrienta,La venganza del sabueso de sangre de hierro,การกลับมาของหมาล่าเนื้อตระกูลดาบเลือดเหล็ก,বাস্কেরভিলের শিকারীর প্রতিশোধ",https://myanimelist.net/manga/157888?utm_source=comick,https://anilist.co/manga/163824?utm_source=comick,https://www.mangaupdates.com/series/5v7h9gf?utm_source=comick
FZhvxiV4,Primal Hunter,reading,,80,2025-15-09,Pierwotny Łowca,,,
x_bdWVIL,A Modern Man Who Transmigrated Into the Murim World,reading,,143,2025-14-09,"Murime Tteoreojin Hyeondaein,무림에 떨어진 현대인,Modern Man Falling Into the World of Murim,Un hombre moderno en el Murim,Modern Dude in the Murim,A Modern Man Who Got Transmigrated to Murim,武林에 떨어진 現代人,A Modern Man Who Got Transmigrated Into the Murim World,武林に降り立った現代人,переселившийся в мир Мурим маньхуа,Современный человек,Hombre del siglo XI en la antigüedad,Un hombre moderno que transmigró al mundo murim",https://myanimelist.net/manga/158496?utm_source=comick,https://anilist.co/manga/159445?utm_source=comick,https://www.mangaupdates.com/series/pupzzsk?utm_source=comick
PwnIDEPL,"Astro King - Summoned as a Hero, I Turned Out to Be Low Rank, so I Made a Maid Harem!",reading,,30,2025-14-09,"アストロキング　召喚勇者だけど下級認定されたのでメイドハーレムを作ります！,Asutoro Kingu - Shoukan Yuusha dakedo Kakyuu Nintei sareta node Meido Haaremu o Tsukurimasu!,Astro King - Summoned as a Hero, I Turned Out to Be Low Rank, so I Made a Maid Harem!,Astro King - Di panggil Sebagai Pahlawan, Aku Ternyata Berpangkat Rendah, Jadi Aku Membuat Harem dengan Pelayan!!",,,
f28FW4OR,Necromancer Academy and the Genius Summoner,reading,,198,2025-14-09,"Necromancer Academy's Genius Summoner,네크로맨서 학교의 소환천재,Necromancer Hakgyoui Sohwancheonjae,死靈術師學院的召喚天才,ยอดอัจฉริยะแห่งโรงเรียนเนโครแมนเซอร์,ネクロマンサー学園の天才召喚士",https://myanimelist.net/manga/164754?utm_source=comick,https://anilist.co/manga/171818?utm_source=comick,https://www.mangaupdates.com/series/o38jhwh?utm_source=comick
Doks6PIm,Remote Jugyou ni Nattara Class 1 no Bishoujo to Doukyo Suru Koto ni Natta,reading,,17,2025-13-09,"Sau khi chuyển sang học online, tôi đành phải sống chung với cô nàng xinh đẹp nhất lớp,When I Got to Remote Class, I had to Move in with the Most Beautiful Girl in My Class,Cuando empecé con las clases a distancia, tuve que convivir con la chica más guapa de mi clase.,Cuando empecé con las clases a distancia, tuve que convivir con la chica más guapa de mi clase.,Uzaktan Eğitime Başladığımda, Sınıfımdaki En Güzel Kızla Aynı Eve Taşınmak Zorunda Kaldım,リモート授業になったらクラス1の美少女と同居することになった,When I Got to Remote Class, I Had to Live With the Most Beautiful Girl in My Class,Remote Jugyou ni Nattara Class 1 no Bishoujo to Doukyo suru Koto ni Natta",https://myanimelist.net/manga/170074?utm_source=comick,https://anilist.co/manga/177877?utm_source=comick,https://www.mangaupdates.com/series/mv778jd?utm_source=comick
rRybXeCI,"Yami-ochi Rasu Bosu Reijou No Osananajimi Ni Tensei Shita. Ore Ga Shindara Bad End Kakutei Na Node Saikyou Ni Natta Kedo, Mou Yami-ochi ""yandere-ka"" Shitemasen Ka?",reading,,3,2025-13-09,"I Reincarnated as the Villainess’ Childhood Friend Who Falls into Darkness. If I Die, It’s a Guaranteed Bad End, So I Became the Strongest… But Hasn’t She Already Fallen Into Darkness [and Turned Yandere]?,闇堕ちラスボス令嬢の幼馴染に転生した。俺が死んだらバッドエンド確定なので最強になったけど、もう闇堕ち【ヤンデレ化】してませんか？",,,
EOJkw0Mk,How to Use a Returner,reading,,153,2025-13-09,"회귀자 사용설명서,Инструкция по перерождению,Hoegwija Sayongseolmyeongseo,Sayongseolmyeongseo,Hoegwija,Como Usar um Regressor,Kí Sự Hồi Quy,Manual de Instrucciones del Reencarnado,Regressor Instructional Manual,คู่มือการใช้งานของนักข้ามเวลา,回帰者の取扱説明書,回归者使用说明书,回歸者使用說明書,当反派拥有了全知属性,Manuel de comment bien utiliser un régresseur temporel,Regressor Instruction Manual",https://myanimelist.net/manga/147318?utm_source=comick,https://anilist.co/manga/141007?utm_source=comick,https://www.mangaupdates.com/series.html?id=190936&utm_source=comick
6p5qCZfn,"Boukensha ni Narenakatta Ore, Skill [Oppai Kyousei] de Nayameru Anoko wo Hitotasuke!?",reading,,18,2025-13-09,"冒険者になれなかった俺、スキル「おっぱい矯正」で悩めるあの子を人助け！？,I Who Couldn't Become an Adventurer, Will Save People With My [Boobs Correction] Skill!?,Boukensha ni Nare Nakatta Ore, Skill ""Oppai Kyousei"" de Nayameru Ano Ko wo Hito Dasuke!?,Boukensha ni Narenakatta Ore, Skill [Oppai Kyousei] de Nayameru Anoko o Hitotasuke!?,I Couldn't Become an Adventurer, so I'll Help Troubled Girls with My ""Breast Correction"" Skill!?,冒険者になれなかった俺、スキル「おっぱい矯正」で悩めるあの子を人助け!?",https://myanimelist.net/manga/165428?utm_source=comick,https://anilist.co/manga/172559?utm_source=comick,https://www.mangaupdates.com/series/jynes35?utm_source=comick
hduO3Yax,Reincarnation Coliseum,reading,,33.5,2025-13-09,"전생 콜로세움 ～최약 스킬로 최강의 여자들을 공략해 노예 할렘 만듭니다～,転コロ,TenColi,ReColi,Reincarnation Colosseum - Using the Weakest Skills in Order to Defeat the Strongest Women and Create a Slave Harem,転生コロシアム～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～,Coliseo de Reencarnación - Utilizar las Habilidades Más Débiles para Atacar a las Mujeres Más Fuertes y Crear un Harén de Esclavas,Reinkarnasi Colosseum - Menggunakan Keterampilan Terlemah untuk Mengalahkan Wanita Terkuat dan Membuat Harem Budak,轉生競技場～用最弱技能擊敗最強的女人們打造奴隸後宮～,转生奴隶角斗场,Tensei Coliseum ~Saijaku Skill de Saikyou no Onna-tachi wo Koryaku Shite Dorei Harem Tsukurimasu~,Reincarnation Coliseum: The Weakest Skill Conquers the Strongest Women and Creates a Harem,ทาสรักสังเวียนเถื่อน,전생 콜로세움,Tensei Colosseum - Saijaku Skill de Saikyou no Onna-tachi o Kouryaku shite Dorei Harem Tsukurimasu,Reincarnation Coliseum,Reincarnation Colosseum: Using the Weakest Skills in Order to Defeat the Strongest Women and Create a Slave Harem,Tensei Coliseum,Tensei Coliseum: Saijaku Skill de Saikyou no Onna-tachi wo Koryaku Shite Dorei Harem Tsukurimasu,転生コロシアム　～最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります～,Tensei Coliseum: Saijaku Skill de Saikyou no Onna-tachi o Koryaku Shite Dorei Harem Tsukurimasu",,,
GcdTCYjB,Avenger of Mystical Eyes - Blood Parasite,reading,,37,2025-13-09,"Mame no Fukushuu-sha - Blood Parasite,魔眼の復讐者 ブラッドパラサイト,Avenger of Mystical Eyes - Brood Parasite,Evil Eye Avenger - Blood Parasite,Magan no Fukushuu-sha - Blood Parasite,Blood Parasite",,,
nh_P8QaZ,Otoko Girai na Bijin Shimai wo Namae mo Tsugezu ni Tasuketara Ittai Dounaru?,reading,,23,2025-13-09,"Otoko Girai na Bijin Shimai o Namae mo Tsugezu ni Tasuketara Ittai Dounaru?,The Case About Two Sisters Becoming Extremely Obsessed with Me After I Saved Them,男嫌いな美人姉妹を名前も告げずに助けたら一体どうなる?,El caso de dos hermanas que se obsesionaron conmigo después de que las salvara,Hai chị em trở nên kì lạ sau khi tôi cứu họ,What Happens When You Save Two Beautiful Sisters Who Hate Men Without Telling Them Your Name?",https://myanimelist.net/manga/160222?utm_source=comick,https://anilist.co/manga/163004?utm_source=comick,https://www.mangaupdates.com/series/kkcao1x?utm_source=comick
Vf8oINR2,Genius Archer’s Livestreaming,reading,,79,2025-13-09,"천재 궁수의 스트리밍,Genius Archer's Streaming,Stream Của Cung Thủ Thiên Tài,สตรีมมิงยอดนักธนูอัจฉริยะ,天才弓箭手的直播,弓で無双する初心者ストリーマー,Genius Archer's Livestreaming,Stream de l'archer de génie,Genius Archer’s Streaming",https://myanimelist.net/manga/169874?utm_source=comick,https://anilist.co/manga/180166?utm_source=comick,https://www.mangaupdates.com/series/qwlro65?utm_source=comick
PEVnfSnm,God-Tier Extra's Ultimate Guide,reading,,32,2025-13-09,"A World-Class Walkthrough (2025),God-Tier Extra's Ultimate Guide (2025),God-Tier Extra's Ultimate Guide (Remake),The Transcendental Extra's Strategy Guide (2025),The World-Class Extra's Walkthrough (2025),処刑寸前から始まる神ゲー無双,초월급 엑스트라의 공략집 (2025),초월급 엑스트라의 공략집,The World-Class Extra’s Walkthrough [Remake],The World-Class Extra's Walkthrough",,https://anilist.co/manga/194618?utm_source=comick,https://www.mangaupdates.com/series/zf2witl?utm_source=comick
jfuVawLO,Max Talent Player,reading,,97,2025-12-09,"才能MAXプレイヤー,Max Talent Player,Talent Management Player,A Talented Player,재능만렙 플레이어,Jaeneungmallep Peulleieo,天赋满级玩家,才能滿點玩家,Maxed Talent Player / Talent Management Player / A Talented Player / 재능만렙 플레이어",,,
R3Jt76QH,Genius Grandson of the Loan Shark King,reading,,68,2025-12-09,"Nieto genio del rey de los prestamistas,หลานอัจฉริยะของราชาเงินกู้,金融大佬的天才孙子,사채왕의 천재손자",,,
a9cBQ2ob,Nebula's Civilization,reading,,106,2025-11-09,"The Nebula's Civilization,Le sage destin de la civilisation,La vie de la civilisation sage,슬기로운 문명생활,ნებულას ცივილიზაცია,A Civilização da Nebulosa,Seulgiroun Munmyeongsaenghwal,为智慧文明生活而来",https://myanimelist.net/manga/165175?utm_source=comick,https://anilist.co/manga/174515?utm_source=comick,https://www.mangaupdates.com/series/ep7zp35?utm_source=comick
Ro9d0hzE,Rojiura de Hirotta Onnanoko ga Bad End-go no Otome Game no Heroine Datta Ken,reading,,2,2025-11-09,"The Girl I Picked Up in the Back Alley Turned Out to Be the Heroine of a Bad Ending Otome Game,路地裏で拾った女の子がバッドエンド後の乙女ゲームのヒロインだった件,Gadis yang Kupungut di Gang Belakang Ternyata Heroine Otome Game Setelah Bad End",https://myanimelist.net/manga/185598?utm_source=comick,,
fDnkiUL2,Isekai Koushoku Musou Roku,reading,,50,2025-11-09,"이세계 호색무쌍록 ~이세계전생의 지식과 힘을, 그저 xxxx를 위해서 쓴다~,Isegye hosaegmussanglog: isegyejeonsaeng-ui jisiggwa him-eul, geujeo xxxxleul wihaeseo sseunda,Catatan pejuang penuh nafsu di dunia lain ~Kebijaksanaan dan keterampilan reinkarnasi di dunia lain, gunakan saja untuk XXXX bahkan untuk sesaat~,Records of Unparallelled Otherworld Lechery: Using the Wisdom and Power of Otherworld Reincarnation Just to Have XXX,異世界好色無雙錄〜異世界轉生的智慧與力量，只為✕✕✕✕來使用〜,异世界好色无双录,異世界好色無双録～異世界転生の知恵と力を、ただひたすら××××するために使う～,Isekai Koushoku Musou Roku ~Isekai Tensei no Chie to Chikara o, Tada Hitasura ×××× Suru Tame ni Tsukau~,Records of Lustful Warriors in Another World,Bản ghi chép về sự dâm dục ở thế giới khác: sử dụng kiến thức và sứ mạnh ở thế giới khác chỉ để XXX,Isekai Koushoku Musou Roku,Isekai Koushoku Musou Roku - Isekai Tensei no Chie to Chikara wo, Tada Hitasura XXXX suru Tame ni Tsukau,Records of Unparallelled Otherworld Lechery ~Using The Wisdom And Power Of Otherworld Reincarnation Just To Have XXX~,Records Of Unparallelled Otherworld Lechery ~Using The Wisdom And Power Of Otherworld Reincarnation Just To Have XXX~,異世界好色無双録〜異世界転生の知恵と力を、ただひたすら✕✕✕✕するために使う〜",https://myanimelist.net/manga/156907?utm_source=comick,https://anilist.co/manga/162321?utm_source=comick,https://www.mangaupdates.com/series/6p0v27r?utm_source=comick
PeGf5N6y,Doukyo Shiteiru Kensei no Onna Shishou ga Kawaisugite Mainichi Shiawase Desu,reading,,9.1,2025-11-09,"My Female Sword Master, Whom I Live With, Is So Cute That I'm Happy Every Day,My Female Sword Master, Who I Live With, Is So Cute That I'm Happy Every Day,與可愛劍聖女師傅的幸福同居生活,같이 동거하는 검성 여스승님이 너무 귀여워서 매일 행복합니다,Doukyo Shiteiru Kensei no Onna Shishou ga Kawaisugite Mainichi Shiawase desu,La Maestra Espadachina que Vive Conmigo es Demasiado Linda y me Hace Feliz Cada Día,同居している剣聖の女師匠が可愛すぎて毎日幸せです",https://myanimelist.net/manga/170840?utm_source=comick,https://anilist.co/manga/178571?utm_source=comick,https://www.mangaupdates.com/series/3ew4h1c?utm_source=comick
t1iLNZ4k,Barbarian’s Adventure in a Fantasy World,reading,,33,2025-11-09,"Surviving as a Barbarian in a Fantasy World,판타지 세계 속 바바리안으로 살아가기,판타지 세계 속 바바리안으로 살아가기,A Barbarian Adventure in a Fantasy World,Surviving as a barbarian in a Fantasy World,Trở Thành Man Di Ở Thế Giới Fantasy,Barbarian's Adventure in a Fantasy World",https://myanimelist.net/manga/184657?utm_source=comick,,https://www.mangaupdates.com/series/htmmw28?utm_source=comick
LHup5qVT,The Greatest Estate Developer,reading,,208,2025-11-09,"역대급 영지 설계사,The Greatest Estate Designer,史上最高の領地設計士,The World's Best Engineer,史诗级领地设计师,Система всемогущего дизайнера,MŚCICHUJ,史詩級領地設計師,Yeokdaegeum Yeongji Seolgyesa,দ্য গ্রেটেস্ট এস্টেট ডেভেলপার,Bậc Thầy Thiết Kế Điền Trang,desarrollador inmobiliario,El mejor,El mejor desarrollador inmobiliario,Loco chiflado,Loco Frontera,O Melhor Engenheiro Do Mundo,ยอดสถาปนิกผู้พิทักษ์อาณาจักร,El Mejor Ingeniero del Mundo,El Mejor Diseñador Inmobiliario,Bậc Thầy Thiết Kế Điền Trang",https://myanimelist.net/manga/147272?utm_source=comick,https://anilist.co/manga/140407?utm_source=comick,https://www.mangaupdates.com/series.html?id=186405&utm_source=comick
wRFLx4jE,Tensei Shitara Ken Deshita,reading,,90,2025-11-09,"転生したら剣でした,J'étais une épée quand je me suis réincarné,О моём перерождении в меч,전생했더니 검이었습니다,TenKen,Tensei Shitara Kendeshita,ซวยเหลือหลายเกิดใหม่กลายเป็นดาบ,Reincarnated as a Sword,I Was a Sword When I Reincarnated,Sword Dad,Naging Espada Ako sa aking Pangalawang Buhay,I Was a Sword When I Reincarnated!,转生成为魔剑,전생했더니 검이었다,Chuyển Sinh Thành Kiếm,I was a Sword when I Reincarnated!, Reincarnated as a Sword, Tensei Shitara Kendeshita, 전생했더니 검이었다, 転生したら剣でした, 转生成为魔剑",https://myanimelist.net/manga/103144?utm_source=comick,https://anilist.co/manga/98014?utm_source=comick,https://www.mangaupdates.com/series.html?id=138015&utm_source=comick
oIwSjYwB,The Curious Case of Chronicle,reading,,74,2025-11-09,"Las coincidencias del destino,게임 속 기연이 현실로,奇縁 〜 ゲームと現実がリンクする,My Lucky Encounter From the Game Turned Into Reality,Game Sok Giyeoni Hyeonsillo,Mi suerte en el juego se hace realidad,Mi suerte en el juego se vuelve realidad,奇縁〜ゲームと現実がリンクする〜,The Dream in the Game Becomes Reality,游戏奇缘",https://myanimelist.net/manga/168883?utm_source=comick,https://anilist.co/manga/172320?utm_source=comick,https://www.mangaupdates.com/series/qy0jmmh?utm_source=comick
99sr80kM,Pick Me Up,reading,,165,2025-11-09,"Pick Me Up, Infinite Gacha,픽 미 업!,Pick Me Up!,PICK ME UP～低レア★英雄の成り上がり～,ピックミーアップ！低レア英雄の成り上がり,Pick Me up!! Tei Rea Eiyū No Nariagari,Gacha infinito,Pick me up, Gacha Infinito,Me Escolhe!,レア度★1の英雄として生き残る方法~PICK ME UP~,Pick Me Up !,PICK ME UP～低レア英雄の成り上がり～,Me Escolhe! Gacha Infinito,Pick Me Up, Infinite Gacha,Pick Me Up!,PICK ME UP～低レア★英雄の成り上がり～,¡Escógeme! Gacha Infinito,ピックミーアップ！低レア英雄の成り上がり,픽 미 업!",https://myanimelist.net/manga/154587?utm_source=comick,https://anilist.co/manga/159441?utm_source=comick,https://www.mangaupdates.com/series/r4ksmo5?utm_source=comick
yX_CtggU,Doomsia's Healing Sessions,reading,,6,2025-11-09,Sessões de Cura de Doomsia,,,
xB8MSvtf,The Infinite Mage,reading,,135,2025-10-09,"무한의 마법사,Infinite Wizard,Muhanui Mabeopsa,Infinite Mage,Mago do infinito,El mago infinito,จอมเวทไร้ขีดจำกัด,无限魔法师,無限の魔法使い,無限魔法師",https://myanimelist.net/manga/154692?utm_source=comick,https://anilist.co/manga/159930?utm_source=comick,https://www.mangaupdates.com/series/ev4ygbg?utm_source=comick
6sTQWUXK,Osananajimi to wa Romcom ni Naranai,reading,,111,2025-10-09,"ไม่มีทางที่มันจะกลายเป็นเลิฟคอมเมดี้กับยัยเพื่อนสมัยเด็กหรอก,幼馴染とはラブコメにならない,Osananajimi to wa Love Comedy ni Naranai,Childhood Friends Don't Make RomComs,Osananajimi to wa Rabukome ni Naranai,เลิฟคอม กับเพื่อนสมัยเด็กน่ะเหรอ เพ้อเจ้อทั้งเพ,소꿉친구하곤 러브 코미디를 할 수 없어,لا مزيد من الحب مع الفتيات.,和青梅竹馬之間不會有戀愛喜劇,Больше никакой любви к девушкам,Làm Gì Có Chuyện Tình Hài Hước Giữa Bạn Thuở Nhỏ Được!,Романтична комедія між друзями дитинства неможлива,No More Love with the Girls,Osananajimi to wa Romcom ni Naranai,It won't Become a Romcom with Childhood Friends",,,
bmsXNNhA,The Eldest Son of the Marquis House is a Martial Artist,reading,,10,2025-10-09,"후작가 대공자는 무림인,후작가 대공자는 무림인,The Marquis Is the Marital Archduke,The Eldest Son of the Marquis House Is a Martial Artist,The Grand Duke Is a Martial Artist,The Grand Duke of the Marquis Is a Martial Artist,The Marquis Is the Martial Archduke",,,
OY7hKOMr,Helmut: The Forsaken Child,reading,,106,2025-10-09,"Helmut (Kim Nan Sae),Helmut (Honyo),헬무트,Helmut,Helmut: A Criança Abandonada,Helmut: El Niño Abandonado,ヘルムート～魔物に育てられた子～,赫尔穆特·魔物养育之子",https://myanimelist.net/manga/151242?utm_source=comick,https://anilist.co/manga/154782?utm_source=comick,https://www.mangaupdates.com/series/kjv5b8d?utm_source=comick
HIEmevp,Return of the Calamity-Class Death Knight,reading,,35,2025-09-09,"멸망급 데스나이트가 회귀함,멸망급 데스나이트가 회귀함,Return of the Apocalypse-Class Death Knight",,,
3XyYPrPj,Time-Limited Genius Dark Knight,reading,,115,2025-09-09,"Terminally-Ill Dark Knight,余命宣告された天才暗黒騎士,O gênio cavaleiro negro em condição terminal,อัศวินดำล่าท้าเวลา,身患绝症的天才暗黑骑士,絕症天才暗黑騎士,시한부 천재 암흑기사,Terminally-Ill Dark Knight (French),Time Limited Genius Dark Knight,El prodigioso caballero oscuro con tiempo limitado,Terminally-Ill Genius Dark Knight,Sihanbu Cheonjae Amheukgisa",https://myanimelist.net/manga/159015?utm_source=comick,https://anilist.co/manga/165182?utm_source=comick,https://www.mangaupdates.com/series/zeu3fx5?utm_source=comick
qxilXyaR,Omniscient Reader's Viewpoint,reading,,279,2025-09-09,"Omniscient Reader,ORV,Lecteur omniscient,Lector omnisciente,全知的な読者の視点から,全知读者,전독시,전지적 독자 시점,Punkt Widzenia Wszechwiedzącego Czytelnika,Góc nhìn của Độc giả Toàn tri,Всеведущий читатель,دیدگاه خواننده‌ی همه‌چی‌دون,وجهة نظر القارئ العراف,อ่านชะตาวันสิ้นโลก,全知讀者視角,全知读者视角,Der allwissende Leser,Toàn Trí Độc Giả,Jeonjijeok Dokja Sijeom,Omniscient Reader's Point of View,Ponto de vista de um leitor onisciente,Punto de vista de lector omnisciente,خواننده همه فن حریف,全知的讀者時點,全讀時,전지적독자시점,Всезнаючий читач",https://myanimelist.net/manga/132214?utm_source=comick,https://anilist.co/manga/119257?utm_source=comick,https://www.mangaupdates.com/series.html?id=167681&utm_source=comick
lMNrOxU7,Fushi no Kami: Rebuilding Civilization Starts with a Village,reading,,43,2025-09-09,"Fushi no Kami ~Henkyou kara Hajimeru Bunmei Saiseiki~,フシノカミ～辺境から始める文明再生記～,Fushi no Kami: Rebuilding Civilization Starts With a Village",https://myanimelist.net/manga/142104?utm_source=comick,https://anilist.co/manga/142410?utm_source=comick,https://www.mangaupdates.com/series.html?id=193398&utm_source=comick
b0ocWtfD,Otome Game Sekai wa Mob ni Kibishii Sekai desu,reading,,71,2025-09-09,"Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Manga),乙女游戏世界对路人角色很不友好,Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng,ชีวิตตัวประกอบอย่างตูช่างอยู่ยากเมื่ออยู่ในโลกเกมจีบหนุ่ม,乙女ゲー世界はモブに厳しい世界です,여성향 게임 세계는 엑스트라에게 어려운 세상입니다,MobuSeka,Мир отомэ-игр — это тяжёлый мир для мобов,Otomege Sekai wa Mob ni Kibishii Sekai desu,Mon Destin... Entre Les Mains Des Femmes,女性向遊戲世界對路人角色很不友好,The World of Otome Games Is Tough for Mobs,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,ชีวิตตัวประกอบอย่างตูช่างอยู่ยากเมื่ออยู่ในโลกเกมจีบหนุ่ม (Luckpim)",https://myanimelist.net/manga/116157?utm_source=comick,https://anilist.co/manga/104503?utm_source=comick,https://www.mangaupdates.com/series.html?id=151017&utm_source=comick
8kBGR7BI,Blue Lock,reading,,317,2025-09-09,"Көк қамал,ブルーロック,Mavi Kilit,藍色監獄,Mavi Hücre,Tiền đạo số 1,Блакітная вязьніца,Синя тюрма,BLUE LOCK ขังดวลแข้ง,Buruu Rokku,Blue Lock,Блу лок,Blue Lock,蓝色监狱,蓝色禁区,Ko'k Zindon,القفل الارزق,블루 록,Синяя Тюрьма,ขังดวลแข้ง",https://myanimelist.net/manga/114745?utm_source=comick,https://anilist.co/manga/106130?utm_source=comick,https://www.mangaupdates.com/series.html?id=149641&utm_source=comick
JLJUjtxB,The Regressed Mercenary Has a Plan,reading,,55,2025-09-09,"重生佣兵王的复仇,重生傭兵的完美計畫,Zregresowany najemnik ma plan,회귀한 용병은 다 계획이 있다,Hoegwihan Yongbyeongeun Da Gyehoegi Itda,The Regressed Mercenary's Machinations,Every Returned Mercenary Has a Plan,L'intrigue surprenante d'un mercenaire régresseur,Las conspiraciones del mercenario regresado",https://myanimelist.net/manga/174559?utm_source=comick,https://anilist.co/manga/182066?utm_source=comick,https://www.mangaupdates.com/series/ya9vyfk?utm_source=comick
RpA9MzmO,Ore no Yubisaki de Nureru sekai,reading,,18,2025-09-09,"俺の指先で濡れる世界,The World that Becomes Wet at My Touch,A World Wet with My Fingertips",https://myanimelist.net/manga/182957?utm_source=comick,https://anilist.co/manga/197242?utm_source=comick,https://www.mangaupdates.com/series/cp9ad7t?utm_source=comick
