hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
kah_paCJ,The Genius Prince's Way to Raising a Nation Out of Debt (Official),reading,,79,2024-22-09,"Sou da, Baikoku Shiyou - Tensai Ouji no Akaji Kokka Saiseijutsu,Souda, Baikoku Shiyou - Tensai Ouji no Akaji Kokka Saiseijutsu,Tensai Ouji no Akaji Kokka Saisei Jutsu - Souda, Baikoku Shiyou,The Genius Prince's Guide to Raising a Nation Out of Debt,The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?),天才王子的赤字国家振兴术,YES, treason it will do: Prince of genius rise worst,そうだ、売国しよう~天才王子の赤字国家再生術~,そうだ、売国しよう～天才王子の赤字国家再生術～,Prince of Genius Rise Worst Kingdom ~Yes, Treason It Will Do~",,,https://www.mangaupdates.com/series/59eb06r?utm_source=comick
wJsqiuEQ,The Regression of Great Sage Riddle,reading,,8,2024-20-09,"大賢者リドルの時間逆行,The Regression of Great Sage Riddle",,,
_x731rN2,Lord Hero of House Remes,reading,,36,2024-10-09,"Duke's Eldest Son Is a Regressed Hero,El hijo mayor del duque es un héroe regresor,Hero Becomes Duke's Eldest Son,Hero Becomes the Eldest Son of a Duke,Um Herói no Ducado,屠龙王的重启人生,英雄、公爵家の長男になる,The Hero Becomes Duke's Eldest Son,The Hero Became the Duke's Eldest Son,Duke's Eldest Son is a Regressed Hero,영웅, 공작가 장남 되다",https://myanimelist.net/manga/173472?utm_source=comick,https://anilist.co/manga/179431?utm_source=comick,https://www.mangaupdates.com/series/66518zu?utm_source=comick
531DmNZI,Hunter Academy’s Strongest Battle God,reading,,40.5,2024-18-09,"헌터 아카데미의 최강투신,Hunter Academy's Strongest Battle God,Hunter Academy's Greatest War God,Непобедимый бог академии охотников,El Dios de la Batalla de la Academia de Cazadores,Hunter Academy's Battle God,Đệ Nhất Chiến Thần Của Học Viện Thợ Săn,ハンターアカデミーの最強闘神,Hunter Academy's Invincible Martial God",https://myanimelist.net/manga/173255?utm_source=comick,https://anilist.co/manga/177058?utm_source=comick,https://www.mangaupdates.com/series/d66o7lp?utm_source=comick
0TsA2_7e,Akuma wa Rozario ni Kiss wo suru,reading,,9,2024-18-09,"Дьявол целующий чётки,悪魔はロザリオにキスをする,Lên Chuỗi Tràng Hạt, Ác Ma đặt Nụ Hôn,𨑗𠁻長曷，惡魔噠𦵚㖧 (Nom Script),The Devil Kisses the Rosary,Akuma wa Rozario ni Kiss wo suru,The devil kisses the rosary, 悪魔はロザリオにキスをする",https://myanimelist.net/manga/166431?utm_source=comick,https://anilist.co/manga/168924?utm_source=comick,https://www.mangaupdates.com/series/86qvfcf?utm_source=comick
uiv8RXpC,"""Kukuku...... Yatsu wa Shiten'nou no Naka Demo Saijaku"" to Kaiko sa Reta Ore, Naze ka Yuusha to Seijo no Shishou ni Naru",reading,,15.1,2024-18-09,"「庫庫庫……。他是四天王之中最弱」這樣被解僱的我、不知為何成了勇者和聖女的師傅,「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる,""Heh heh heh....... He Is the Weakest of the Four Heavenly Kings."" I Was Dismissed From My Job, but Somehow I Became the Master of a Hero and a Priestess,「크크큭……. 놈은 사천왕 중에서도 최약이지」라고 해고된 나, 왠지 용사와 성녀의 스승이 되었다,「库库库......。 他是四天王之中最弱」这样被解雇的我、不知为何成了勇者和圣女的师傅,""Kukuku....... El es el más débil de los cuatro monarcas celestiales."" Me despidieron de mi trabajo, pero de alguna manera me convertí en el maestro de un héroe y una doncella santa,Somehow I, a Person Who Was Dismissed With a ""Kukuku… Even Though That Guy Is One of the Four Heavenly Monarchs, He's the Weakest"" Became the Master of Both the Hero and the Saintess,""Kukuku...... Yatsu wa Shitennou no Naka demo Saijaku"" to Kaikosareta Ore, Naze ka Yuusha to Seijo ni Shishou ni naru,`Kukuku……. Yatsu wa Shiten'nō no Naka Demo Saijaku' to Kaiko sa Reta Ore, Naze ka Yūsha to Seijo no Shishō ni Naru,""Kukuku....... He Is the Weakest of the Four Heavenly Monarchs."" I Was Dismissed From My Job, but Somehow I Became the Master of a Hero and a Holy Maiden",https://myanimelist.net/manga/138562?utm_source=comick,https://anilist.co/manga/132510?utm_source=comick,https://www.mangaupdates.com/series.html?id=178448&utm_source=comick
LPHngIgf,The Cave King Will Live a Paradise Life (Official),dropped,,21,2024-04-06,"A Cave King’s Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,Doukutsu Ou kara Hajimeru Rakuen Life,Doukutsuou kara Hajimeru Rakuen Life,Doukutsuou kara Hajimeru Rakuen Life - Bannou no Saikutsu Skill de Saikyou ni!?,The Cave King Will Live a Paradise Life -Becoming the Strongest With the Mining Skill?-,The King of Cave Will Live a Paradise Life,从洞窟王开始的乐园生活 万能的采掘技能最强⁉,洞窟王からはじめる楽園ライフ,洞窟王からはじめる楽園ライフ ～万能の採掘スキルで最強に!?～,The Cave King Will Live a Paradise Life",https://myanimelist.net/manga/128894?utm_source=comick,https://anilist.co/manga/119518?utm_source=comick,https://www.mangaupdates.com/series.html?id=167474&utm_source=comick
jxgn5BCZ,Magic Maker: How to Create Magic in Another World,completed,,13.2,2024-19-05,"マジック・メイカー －異世界魔法の作り方－,Magic Maker: Isekai Mahou no Tsukurikata,Magic Maker - Isekai Mahou no Tsukurikata",https://myanimelist.net/manga/157056?utm_source=comick,https://anilist.co/manga/155780?utm_source=comick,https://www.mangaupdates.com/series.html?id=191533&utm_source=comick
tZryAebk,Lifestyle Magic Is Not Worthless Skill,reading,,11,2024-16-09,"生活魔法はハズレスキルじゃない,Lifestyle Magic is Not Worthless Skill",,,
lGKLPGsA,"Hey, the Cheat Code Management Skill Which Was Thought to Be Useless Is Too Monstrous",reading,,14.3,2024-16-09,"おい、外れスキルだと思われていた《チートコード操作》が化け物すぎるんだが,Hey, the Cheat Code Management Skill Which Was Thought to Be Useless Is Too Monstrous,Hey, the Cheat Code Manipulation Skill Which Was Thought to Be Useless Is Too Monstrous,Oi, Hazure Skill da to Omowareteita ""Cheat Code Sousa"" ga Bakemono Sugirun da ga",https://myanimelist.net/manga/165152?utm_source=comick,,https://www.mangaupdates.com/series/8ddzr7s?utm_source=comick
